DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,Well
6132.0,0.241,12.34,0.256,91.4,69.04,0.766523,2.72,2.166,0.134375,0.256,38.89,69.04,2.166,Project_well_logs/TMG-1-logs
6133.0,0.238,12.46,0.258,99.4,72.48,0.907983,2.66,2.176,0.0787968,0.258,34.63,72.48,2.176,Project_well_logs/TMG-1-logs
6134.0,0.235,12.52,0.248,7.5,74.56,0.988405,2.59,2.194,0.0975231,0.248,36.21,74.56,2.194,Project_well_logs/TMG-1-logs
6135.0,0.23,12.52,0.24,20.8,75.96,0.933974,2.54,2.212,0.104019,0.24,36.72,75.96,2.212,Project_well_logs/TMG-1-logs
6136.0,0.228,12.51,0.242,28.7,76.5,0.878476,2.55,2.205,0.0954084,0.242,36.04,76.5,2.205,Project_well_logs/TMG-1-logs
6137.0,0.224,12.51,0.253,39.6,76.5,0.792137,2.66,2.174,0.0743724,0.253,34.23,76.5,2.174,Project_well_logs/TMG-1-logs
6138.0,0.22,12.4,0.251,51.6,75.9,0.785532,2.83,2.179,0.0591272,0.251,32.76,75.9,2.179,Project_well_logs/TMG-1-logs
6139.0,0.22,12.34,0.251,50.3,74.54,0.802188,2.96,2.19,0.0353601,0.251,30.12,74.54,2.19,Project_well_logs/TMG-1-logs
6140.0,0.226,12.35,0.249,34.5,71.52,0.836916,3.07,2.204,0.0347872,0.249,30.05,71.52,2.204,Project_well_logs/TMG-1-logs
6141.0,0.261,12.36,0.259,41.0,63.35,0.88402,3.11,2.22,0.0459832,0.259,31.36,63.35,2.22,Project_well_logs/TMG-1-logs
6142.0,0.28,12.43,0.238,94.1,49.92,0.987894,3.07,2.248,0.0761275,0.238,34.39,49.92,2.248,Project_well_logs/TMG-1-logs
6143.0,0.286,12.85,0.14,80.2,47.34,1.0,2.68,2.345,0.572767,0.14,54.82,47.34,2.345,Project_well_logs/TMG-1-logs
6144.0,0.29,13.96,0.066,70.6,41.01,1.0,2.06,2.386,0.83,0.066,68.07,41.01,2.386,Project_well_logs/TMG-1-logs
