DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,WELL
8829.0,0.286,0.0,0.565,81.1,53.89,1.0,1.62,0.0,0.928823,0.565,78.95,53.89,0.0,TMG-1-logs.las
8830.0,0.284,0.0,0.59,84.5,53.79,1.0,1.59,0.0,0.896118,0.59,76.17,53.79,0.0,TMG-1-logs.las
8831.0,0.289,0.0,0.609,73.6,53.71,1.0,1.57,0.0,0.867059,0.609,73.7,53.71,0.0,TMG-1-logs.las
8832.0,0.296,0.0,0.623,58.1,53.64,1.0,1.57,0.0,0.845059,0.623,71.83,53.64,0.0,TMG-1-logs.las
8833.0,0.299,0.0,0.629,52.3,53.58,1.0,1.57,0.0,0.833765,0.629,70.87,53.58,0.0,TMG-1-logs.las
8834.0,0.301,0.0,0.625,46.9,53.48,1.0,1.57,0.0,0.843529,0.625,71.7,53.48,0.0,TMG-1-logs.las
8835.0,0.302,0.0,0.613,44.2,53.4,1.0,1.59,0.0,0.865176,0.613,73.54,53.4,0.0,TMG-1-logs.las
8836.0,0.302,0.0,0.6,44.4,53.33,1.0,1.6,0.0,0.886118,0.6,75.32,53.33,0.0,TMG-1-logs.las
8837.0,0.3,0.0,0.593,48.6,53.29,1.0,1.59,0.0,0.895294,0.593,76.1,53.29,0.0,TMG-1-logs.las
8838.0,0.296,0.0,0.592,57.4,53.29,1.0,1.6,0.0,0.895765,0.592,76.14,53.29,0.0,TMG-1-logs.las
8839.0,0.292,0.0,0.596,66.2,53.33,1.0,1.6,0.0,0.888941,0.596,75.56,53.33,0.0,TMG-1-logs.las
8840.0,0.289,0.0,0.6,73.1,53.42,1.0,1.61,0.0,0.881765,0.6,74.95,53.42,0.0,TMG-1-logs.las
8841.0,0.288,0.0,0.599,76.2,53.64,1.0,1.61,0.0,0.882941,0.599,75.05,53.64,0.0,TMG-1-logs.las
8842.0,0.289,0.0,0.597,72.6,53.8,1.0,1.62,0.0,0.886118,0.597,75.32,53.8,0.0,TMG-1-logs.las
8843.0,0.292,0.0,0.6,66.1,53.93,1.0,1.62,0.0,0.883294,0.6,75.08,53.93,0.0,TMG-1-logs.las
8844.0,0.296,0.0,0.604,57.9,53.96,1.0,1.62,0.0,0.878118,0.604,74.64,53.96,0.0,TMG-1-logs.las
8845.0,0.299,0.0,0.609,51.8,54.08,1.0,1.63,0.0,0.870823,0.609,74.02,54.08,0.0,TMG-1-logs.las
8846.0,0.302,0.0,0.615,44.2,54.31,1.0,1.64,0.0,0.860824,0.615,73.17,54.31,0.0,TMG-1-logs.las
8847.0,0.305,0.0,0.611,38.0,54.56,1.0,1.66,0.0,0.869059,0.611,73.87,54.56,0.0,TMG-1-logs.las
8848.0,0.307,0.0,0.608,34.4,54.69,1.0,1.68,0.0,0.875647,0.608,74.43,54.69,0.0,TMG-1-logs.las
8849.0,0.305,0.0,0.607,38.5,54.51,1.0,1.7,0.0,0.875647,0.607,74.43,54.51,0.0,TMG-1-logs.las
